Word,Definition
bliem,
bliez,
bliich,
bliid,
blod,
bluo,
bluu,
bobl,
bochri,
bod,
bodbrien,
bogi,
bok,
bokit,
bokl,
bon,
bonch,
bonggl,
bongl,
bordn,
borniis,
bortdie,
bos,
bot,but
boul,
boun,
bout,about
braad,
braata,
brag,
braid,
braidgruum,
brait,
braita,
brambram,
branch,
branz,
braps,
bred,
breda,brother
bredfruut,
brejrin,
brekfas,
bret,
briek,
briev,
briiz,
brim,
brimstuon,
bring,
brok,
bruuz,
bucha,
buk,
bulfrag,
bulkou,
buo,
buod,
buolt,
buon,
buor,
buos,
buosi,
buosibuosi,
buot,
buowanojiiz,
buowaz,
bush,
bwai,boy
bwail,
byuutiful,
chaa,
chaaj,
chaans,
chap,
chat,
chek,
cherobim,
ches,
chibilieshan,
chien,
chienj,
chier,
chiip,
cho,
chobl,
choblmeka,
choch,church
chogl,
chompit,
chos,trust
chraa,
chrai,try
chraib,
chraifiina,
chraifuosa,
chraik,
chraip,
chraiyal,
chrak,
chrakonaitis,
chrampl,
chrang,strong
chrangga,
chrangis,
chrap,
chrash,
chravl,
chrech,
chrecha,
chred,
chrench,
chrent,
chretn,
chrezha,
chrie,
chried,
chrien,
chriena,
chrienj,
chrienja,
chries,
chriet,
chrieta,
chrietn,
chrii,
chriit,
chrik,
chriki,
chrikifai,
chrim,
chrimbl,
chring,
chrip,
chrofimos,
chuo,
chuok,
chuon,
chuot,
chuowas,
chupid,
chuu,true
chuut,
chuuz,
da,
daag,
daak,
daakas,
daakis,
daaknis,
daakred,
daans,
daata,
daatainlaa,
dabl,
dabldabl,
dadi,
dais,
daiyachrofiiz,
daiyoniisis,
dakta,
dala,
dalmanyuuta,
dalmatiya,
damaris,
damaskos,
dan,
dangki,
daniyel,
dash,
dat,that
de,
ded,dead
dedikiet,
dedlef,
def,
degedege,
dem,them
demself,themselves
den,then
deriks,
deso,
det,
devl,
dezot,
di,the
did,did
didimos,
die,day
dier,
dievid,
difen,
difrant,
dig,
diikan,
diil,
diiman,
diimas,
diip,
dikyapolis,
dil,
dimiichriyos,
dina,
dip,
dipen,
dis,this
disaid,
disapier,
dischrik,
dischrokshan,
disgries,
dish,
disrispek,
dizorv,
dom,
don,done
dong,down
dongstiez,
dopi,
dorbi,
dos,
dot,
doti,
dov,
du,do
duo,
duohn,
duor,
dwiim,
dwiit,
dyuuti,
eba,
ed,head
ef,if
efisos,
eg,
egzampl,
eh,
ehn,
ei,
ej,
eksasaiz,
ekschra,
ekskyuuz,
ekspek,
eksplien,
el,
elaiyakim,
elanpoudaous,
elda,
eli,
elieza,
elifant,
elimas,
eliyiiza,
eliyud,
elmadam,
elmit,
elowi,
elp,help
elpa,
els,
emiyos,
emral,
emti,
en,
eng,
eni,
enibadi,anybody
enidie,
enimi,
enitaim,
eniting,
eniwe,
eniwie,
enjai,
epafras,
epafrodaitos,
epikyuuriyan,
epiniitos,
erad,
eruodiyan,
eruodiyas,
eslai,
eva,ever
evi,
evn,heaven
evri,every
evribada,
evribadi,everybody
evridie,
evritaim,
evriting,everything
evriwe,
ezikaiya,
ezran,
fa,
faachyunietos,
faada,father
faadainlaa,
faak,
faal,
faalt,
faalz,
faam,
faama,
faar,
faas,
faasn,
faati,
faatifuo,
faatisiks,
faatituu,
faawod,
fag,
failiiman,
fain,find
fait,
faiv,
faiya,
faiyalait,
faiyasaid,
fak,
faks,
fala,follow
falara,follower
fambili,
fandanggl,
fansi,
fansifansi,
fanyuuwel,
faraal,
farid,
farin,
farina,
faris,
farisii,
fasifasi,
fat,
fata,
fatn,
fen,
festival,
festos,
fi,
fied,
fiek,
fiel,
fier,
fiero,
fies,
fiet,
fieva,
fievrit,
fif,
fifti,
fiftiin,
fig,
figa,
figet,
fiibi,
fiid,
fiil,
fiiliks,
fiim,
fiiniks,
fiit,
fiiva,
fijilos,
fiks,
filalogos,
filidelfiya,
filiitos,
filip,
filipai,
finaral,
fingga,
finish,
fis,
fish,
fishaman,
fit,
fits,
flai,
flash,
flat,
flata,
flegan,
flesh,
fling,
flod,
flowa,
flowaz,
fluor,
fluot,
fluut,
fon,
foniisiya,
forda,
fos,forst
foul,
foundieshan,
foutn,
fraad,
fraat,
fraitn,
fram,from
frangkinsens,
fren,
fresh,
fret,
fried,afraid
friedifriedi,
frii,
frijiya,
front,
fronta,
fruut,
fufuul,
ful,
fula,
fuo,
fuol,
fuos,
fuot,
fuotiin,
fut,
fuud,
fuul,
fuulfuul,
fuulinish,
fuunu,
fyuucha,
gaan,
gaaza,
gabata,
gad,god
gadbles,
gag,
gaiyos,
galang,
genesaret,
gens,against
ges,
get,get
getsemini,
gi,give
gidiyan,
giebrel,
giet,
gif,
giiin,
giim,
giit,
gilti,
girasiinz,
git,
glaas,
glad,
gladbag,
go,go
golgota,
goli,
gomara,
gomaro,
govament,
govana,
graas,
graasapa,
grab,
grain,
granfaada,
granmada,
granpikni,
grien,
griep,
griet,
griev,
grii,
griidi,
griik,
griin,
griis,
grojful,
grombl,
grong,
gruo,
gruon,
gruup,
gu,
gud,good
gudz,
guol,
guot,
guunu,
guzum,
gwaan,
gwe,
gweehn,
gyaabij,
gyaad,
gyaadi,
gyaadn,
gyaadna,
gyada,
gyadariinz,
gyal,
gyalalii,
gyalaliiyan,
gyalan,
gyaliesha,
gyalieshan,
gyaliyo,
gyalop,
gyambl,
gyamieliyel,
gyang,
gyanggriin,
gyash,
ich,
iduomiya,
iebl,
iebriyam,
iegar,
iej,
iel,
ielstuon,
ieman,
iemen,
iemos,
iemuor,
ienan,
ieniyas,
ienjel,angel
iepran,
ier,hear
ieran,
ierapolis,
ieristaakos,
ieriya,
ieriyapagos,
iet,
ieti,
ietiin,
ievnz,
iez,
iezha,
ifanbot,
iibruu,
iich,
iidiyat,
iifriem,
iigl,
iihn,
iijip,
iil,
iilom,
iin,
iina,in
iinok,
iinos,
iip,heap
iis,
iisaa,
iit,
iitiyuopiya,
iiv,
iivn,even
iivnin,
iiz,
iizi,
iiziya,
ijipshan,
il,
ilaija,
ilaisha,
ilevn,
ili,
ilirikom,
ilizibet,
ilsaid,
im,him
imanyuwel,
impuotant,
imself,himself
in,
inchaaj,
inchres,
infaam,
infaama,
infront,
infronta,in front of
ingiej,
ingk,
inof,
insaid,
insaida,
insek,
insens,
insted,
insteda,
invait,
ipokrit,
irastos,
isakyar,
ishmiyel,
iskyariyat,
isop,
it,
itali,
itself,
izrel,
izrelait,
jaa,
jaadn,
jaar,
jab,
jai,
jain,
jaint,
jairos,
jak,
jakit,
jam,
jambres,
jan,
janai,
jangkro,
janis,
japa,
jared,
jashwa,
jasint,
jaspa,
jefta,
jekonaiya,
jelos,
jengkl,
jeriko,
jerimaiya,
jeruusilem,
jesi,
jeyoshafat,
jezibel,
jiekob,
jiel,
jiemz,
jiesn,
jiizas,Jesus
jinal,
jinarieshan,
jog,
joj,judge
jojment,
jomp,
jongk,
jongkad,
jorim,
jos,just
josaiya,
jostis,
jostos,
joun,
jowana,
jowel,
jozek,
jraa,
jrag,
jragan,
jrai,
jraiv,
jraiva,
jrap,
jregs,
jres,
jrien,
jriim,
jringk,
jringks,
jruusila,
judiya,
judiyan,
juk,
juob,
juoda,
juok,
juona,
juonam,
juonan,
juoram,
juotam,
juowana,
juozif,
juu,jew
juud,
juuda,
juudas,
juuliya,
juuliyos,
juuniyas,
juus,
juwil,
kaa,
kaal,call
kaam,
kaan,
kaana,
kaanieliyan,
kaaniiliyos,
kaas,
kaaz,because
kafn,
kain,
kaina,kind of
kaiyafas,
kaiyas,
kak,
kaldiya,
kalek,
kalekta,
kalom,
kalsiduoni,
kanchens,
kanchuol,
kanek,
kanfyuuz,
kanfyuuzhan,
kangka,
kapa,
karek,
katn,
kech,
kekl,
kiba,
kielis,
kien,
kiena,
kienan,
kienanait,
kier,
kies,
kieta,
kiev,
kii,
kijran,
kik,
kil,kill
kin,
kindom,
king,
kip,keep
kiriniyos,
kis,
kish,
klaadiya,
klaadiyos,
klaat,
klaim,
klap,
klement,
klie,
kliem,
klier,
kliin,
kliiyopas,
kloud,
klowi,
kluopas,
kluos,
kluosa,
kluoz,
kola,
kolasi,
kom,come
komaanda,
kombolo,
komiin,
komplien,
kompni,
konchri,
konchrisaid,
kop,
kopl,
korazin,
korchiv,
kori,
korint,
korintiyan,
kortn,
kos,
kosam,
koskos,
kot,
kotlis,
kou,
koul,
kounsl,
kount,
kounta,
kova,
kowad,
kozn,
kraal,
kraas,
kraasiz,
krabit,
krai,
krais,christ
krap,
krash,
kresens,
kribis,
krievn,
kriip,
kriit,
kriitan,
kriminal,
kripl,
krisolait,
krisopries,
krispos,
kristal,
kristiyan,
krokos,
kromz,
krosh,
kroud,
kroun,
kruo,
ku,
kuda,could have
kudn,couldn’t
kuk,
kum,
kuol,
kuora,
kuos,
kuot,
kuotyaad,
kuul,
kuuza,
kwaata,
kwaatos,
kwaiyat,
kwaril,
kwarilkwaril,
kwestiyan,
kwiin,
kwiiz,
kwik,
kwika,
kwint,
kya,
kyaada,
kyaaf,
kyaahn,can't
kyaapinta,
kyaapos,
kyaat,
kyamil,
kyamp,
kyan,can
kyandiis,
kyanggl,
kyapaduoshiya,
kyapcha,
kyaporniyom,
kyaptin,
kyari,carry
kyaskyas,
kyuor,
kyuumin,
laa,law
laad,lord
laaf,
laaj,
laaks,
laas,
laaya,
lai,
laif,life
laik,like
lain,
lainos,
lait,
laitnin,
laiv,
laiyad,
laiyan,
lak,
laka,
lamek,
lamp,
lampstan,
lan,
lang,long
langga,
langks,
langwij,
lasiiya,
lat,
latn,
lazaros,
leda,
lef,left
lefansaid,
lefuova,
lego,
lema,
len,
les,
let,
leta,
levl,
leyodiisiya,
libiya,
lida,
lidiya,
lidong,
lieba,
liedi,
liek,
lieksaid,
lielie,
liem,
liet,
lieta,
lietaraan,
liezi,
lif,
liid,
liida,
liif,
liin,
liis,
liivai,
lik,
likl,little
likla,
liklis,
likuoniya,
likuoniyan,
lili,
lim,
lingga,
lingk,
linin,
lip,
lis,
lischra,
lishiya,
lisiyas,
lisn,listen
liv,live
lizaniya,
loki,
lonch,
lorn,
lou,
loud,
louda,
lov,lov
luk,look
lukin,
luks,
luo,
luod,
luowis,
luuk,
luus,
luushos,
luuz,
maabl,
maach,
maak,
maakit,
maalta,
maanin,
maasa,
maasta,
maat,
maata,
mach,
mad,
mada,
madainlaa,
madman,
madnis,
magadan,
magdaliin,
maikal,
mail,
main,mind
maira,
mait,
maita,
mak,
maka,
makabush,
malis,
malkos,
mam,
mama,
man,man
mana,
mananggl,
manase,
manaz,
manij,
manija,
manmek,
manoyen,
manyuor,
marid,
mash,
masi,
masiduoniya,
mat,
mata,
mataiyas,
matan,
matarafak,
matat,
matata,
matataiyas,
matyu,
mayalalel,
medal,
meglmegl,
meja,
mek,make
melkezidek,
melki,
melt,
memba,
mena,
meri,
mes,
mesaiya,
mesij,message
mesinja,
mesopotiemiya,
metal,
metyuuzila,
mi,my
midiyan,
midnait,
miebi,
miegag,
mien,
mieri,
migl,
miid,
miin,mean
miinin,
miit,
miitn,
mikies,
miks,
miletos,
miliya,
miliyan,
milk,
minggl,
minit,
mint,
mirikl,
mis,
miself,
misiya,
mitaliine,
mmhm,
moch,
mod,
molak,
mombl,
mongks,among
moni,
monilenda,
mont,
mor,
morda,
mordara,
mos,
mosi,
mosl,
mosn,
mount,
mountn,
mout,
moutamasi,
moutn,
muma,
muo,more
muon,
muor,more
muos,
muoziz,
muun,
muuv,
myuuzik,
naa,
naad,
naafi,
naamal,
naasi,
naasinis,
naat,
naatiista,
naav,
naftali,
nagai,
naidos,
naiga,
nain,
naint,
nainti,
naintinain,
nais,
naisis,
nait,
naiz,
nak,
nalij,
naro,
narsisos,
nataniyel,
nazaret,
nazariin,
neda,
neehn,
nek,
nekenor,
neks,
neri,
neriyos,
nes,
net,
neva,never
nieba,
niecha,
niekid,
niel,
nieli,
niem,name
nieman,
nien,
nier,
nieshan,
nieson,
nietan,
nieyar,
nieyom,
nii,
niid,
niida,
niigl,
niil,
niit,
nikapolis,
nikodiimos,
nikolas,
nikolieshan,
nimfa,
ninive,
nitigriti,
niyapolis,
no,no
nobadi,nodody
nof,
nofa,
nomba,
non,
nors,
notn,nothing
nou,now
nowa,
nuo,know
nuot,
nuoz,
nuun,
nyam,
nyamanlef,
nyaminz,
nyuu,
nyuuz,
obed,
og,
ogli,
oi,
olimpas,
ombl,
onggl,only
onggri,
onggribeli,
oni,
oniisimos,
onisiforos,
onjrid,
op,up
opsaid,
opstiez,
or,
orbanos,
ori,
orli,
orliya,
ormajinis,
ormas,
ormiiz,
ort,earth
ortkwiek,
osh,
ot,
ou,how
oudi,
oul,
ous,house
out,out
outa,out of
outaaada,
outsaid,
outsaida,
owa,
ozban,
ozeya,
pa,
paa,
paadn,
paal,
paalos,
paam,
paaminas,
paas,
paashal,
paasn,
paasuova,
paat,part
paati,
paatiya,
pach,
pachrobas,
pafos,
pail,
pailat,
paim,
paint,
paip,
paizn,
pak,
palis,
pamfiliya,
pan,
pap,
papi,
paradais,
parish,
pasi,
pat,
patara,
patmos,
peleg,
pen,
peni,
pentikas,
perez,
pet,
pich,
picha,
pie,
pien,
pient,
piepa,
pig,
piipl,people
piis,peace
piisiz,
piita,
pijin,
pik,pick
pikni,child
pila,
piros,
pisidiya,
pisidiyan,
pit,
piti,
plaant,
plan,
plangk,
plenti,
plie,
plien,
plies,place
pliet,
plit,
plos,
plou,
poliis,
ponchos,
ponish,
ponishment,
pontos,
porfyuum,
porga,
porgamom,
porl,
porpl,
porshiyos,
porsis,
poun,
powa,power
powaful,powerful
powda,
pozishan,
praans,
prablem,
prafit,prophet
praiz,
prakoros,
pramis,
prangganat,
prapa,
pravorb,
pred,
prefa,
preke,
pres,
presha,
preshos,
prezent,
prie,pray
prieya,
priez,
priich,preach
priicha,
priis,
prisila,
priska,
priti,
pritipriti,
prizn,
prizna,
protek,
proud,
provuok,
pruuv,
pudong,
pul,
puo,
puoch,
puor,
puos,
push,
put,put
puul,
pwail,
pyutiyoli,
pyuubliyos,
pyuudens,
raada,
raama,
rab,
raba,
rabai,
rabonai,
rada,
raid,
raida,
rail,
raip,
rait,
raitansaid,
raiz,
rak,
rakstuon,
ram,
rang,wrong
rangduwa,
rap,
ratn,
red,
redi,
regila,
rejiyom,
rent,
res,
resa,
reyobuom,
ribeka,
rich,
rid,
riechel,
riefan,
riek,
rien,
rienbuo,
rieni,
ries,
riet,
rieyab,
riez,
rigl,
riich,reach
riid,
riida,
riif,
riil,
riili,really
riip,
riizn,
rilijan,
ring,
ringkl,
rispans,
rispek,
riva,
rivasaid,
rob,
rof,
rompos,
ron,run
rona,
rosh,
rosti,
roun,around
ruo,
ruob,
ruod,
ruoda,
ruodsaid,
ruodz,
ruol,
ruom,
ruoman,
ruop,
ruor,
ruos,
ruu,
ruuben,
ruuf,
ruufos,
ruul,rule
ruula,
ruum,
ruus,
ruusta,
ruut,
sa,
saa,saw
saadaniks,
saadis,
saados,
saaf,
saafa,
saal,Saul
saalt,salt
saam,
saamz,psalms
saat,sort
sabaktanai,
sabat,sabbath
sad,
sadam,Soddom
sadyusii,
safaiya,
sai,
said,side
saida,side of
saidan,
saikaar,
sail,soil
sailas,Silas
sailuom,
saiman,Simon
sain,sign
sainai,Sinai
saipros,Cyprus
sairiin,
sairofoniisiyan,
sakrifais,sacrifice
salaman,Solomon
salamis,
salid,
salmuoni,
saluomi,
samachries,
saman,
samaritan,Samaritan
samieriya,Samaria
samos,
samsn,Samson
samwel,Samuel
san,
sang,
sar,
sari,sorry
satisfai,satisfy
schraa,
schraan,
se,say
sed,said
sekan,second
sekl,
seks,sex
sel,sell
sela,seller
self,
selibriet,celebrate
semiyen,
sen,send
senkriya,
sens,sense
sent,
separieshan,separation
serog,
sesuriiya,Caeserea
set,
sevn,seven
sevnti,seventy
sevntifaiv,seventy-five
sevntisiks,seventy-six
sevntituu,seventy-two
shaap,sharp
shaat,short
shaatn,shorten
shain,shine
shaini,shiny
shak,shock
shalo,shallow
shap,
shat,
shed,
sheda,
shekem,
shem,
shepad,shepherd
sheran,
shet,
shhh,
shi,
shiek,
shiem,
shiep,
shier,
shiiba,
shiil,
shiila,
shiip,
shiit,
ship,
shiyaltiyel,
shot,
shout,
shrivl,
shub,
shuda,
shudaana,
shudn,
shuo,show
shuolda,
shuor,sure
shuora,
shuut,
shuuz,
si,see
sib,
sidong,sit down
sief,
siek,
sieka,
siel,
siela,
sielem,
siem,same
siera,
sietan,
siev,save
sieviya,
sievya,
sii,
siid,
siifas,
siikrit,
siim,
siiros,
siisaid,
siit,
siiva,
siiza,
siizn,
siiznin,
sik,
sikisiki,
siknis,
sikondos,
siks,
siksti,
silisiya,
silk,
siluukiya,
silva,
silvanos,
simiyan,
simorna,
sin,sin
sina,
sing,
singgl,
singk,
siniek,
siniik,
siniman,
sins,
sinteki,
sirakyuus,
siriya,
siriyan,
sista,sister
sit,
siti,
sitn,something
skaach,
skaan,
skaapiyan,
skai,
skiel,
skin,
skol,
skruu,
skuul,
skyata,
skyataskyata,
slap,
sliet,
sliev,
sliip,
slip,
slipaz,
sluo,
so,
sodn,
sofa,suffer
sofaira,
sofarieshan,
solfa,
som,some
soma,
somtaim,
somwe,
son,
sonde,
sopa,
sopm,something
sopraiz,
sopuot,
sopuoz,
sorch,
sorjiyos,
sorkl,
sorkomsaiz,
soroun,
sortn,
sorv,
sorvant,
sosipieta,
sostoniiz,
soun,
sout,
sowa,
sowpata,
spai,
spais,
spat,
spen,
speshal,
speshali,
spien,
spier,
spies,
spirit,spirit
sponj,
spring,
springkl,
spuot,
spuots,
staak,
staal,
staam,
staar,
staat,start
staav,
staavieshan,
stail,
stamp,
stefanos,
step,
stepmada,
stie,
stiediyom,
stiekis,
stierin,
stiip,
stiivn,
stil,still
sting,
stoban,
stodi,
stor,
stowik,
stuon,
stuor,
stuul,
sumaal,
sumaala,
sumaat,
sumaata,
sumadi,somebody
sumail,
sumel,
sumuok,
sumuud,
sunuo,
suo,
suoanso,
suod,
suoja,
suok,
suol,
suor,
suoso,
supuoz,
susususu,
suun,
suuzana,
swala,
swel,
swet,
swier,
swiip,
swiit,
swiitmout,
swiittaak,
swim,
taach,torch
taak,talk
taal,tall
taalis,tallest
taament,torment
taamentid,tormented
taasos,Tarsus
tab,
tabita,Tabitha
tadiyos,
tai,tie
taibiiriyos,Tiberius
taidi,tidy
taiga,tiger
taikikos,
tailit,toilet
taim,time
taimz,times
tairanos,
tait,tight
taitos,Titus
taiya,tire
taiyad,tired
taiyataira,Thyatira
taks,tax
taliita,
talomieyis,
tamaar,
tamas,Thomas
tan,stand
tangk,thank
tangks,thanks
tap,stop
tapatap,
tasl,
tek,take
tel,tell
tempa,temper
ten,ten
tenant,tenant
tent,tent
tep,step
tera,
tes,test
tesalonaika,Thessalonica
tide,today
tiebl,table
tiel,tale
tier,tear
ties,taste
tif,
tifn,
tii,
tiich,teach
tiicha,teacher
tiichin,teaching
tiif,thief
tiit,teeth
tik,stick
til,til
timiyos,
timon,
timoti,Timothy
tinait,tonight
ting,thing
tingk,think
tingz,things
tip,
tiyafilas,
toch,touch
todi,
tof,tough
tombl,tumble
tomp,thump
ton,turn
tonda,thunder
tonel,tunnel
tong,tounge
tongz,tounges
torbl,terrible
tord,third
torshiiyos,
torsti,thirsty
tortyuulos,
toti,thirty
totinain,thirtynine
toun,town
touzn,thousand
towa,tower
towil,towel
tu,tu
tugeda,together
tumaro,tomorrow
tumok,stomach
tuodos,
tuol,
tuopaz,topaz
tuori,story
tups,
tuu,too
tuufies,two-faced
tuum,tomb
tuusaidid,two-sided
tuuz,
twelv,twelve
twenti,twenti
twentifuo,twenty-four
twin,twin
twis,twist
uman,woman
umoch,how much
unu,you all
unuself,yourself
uo,owe
uobed,Obed
uobiya,magic
uol,whole
uola,
uolda,older
uoli,holy
uoliip,
uolis,oldest
uoliyis,holiest
uom,home
uon,own
uona,owner
uop,hope
uopm,open
uor,whore
uova,over
uu,who
uufa,
uziya,
vain,vine
vais,voice
vamit,vomit
vejitebl,vegetable
ves,vest
vijan,vision
vors,verse
vuot,vote
wa,what
waadn,
waahn,want
waahntiwaahnti,
waak,walk
waakn,
waal,wall
waam,warm
waan,warn
waanin,warning
waar,war
waarbuot,
waata,water
waatafaal,waterfall
wach,watch
wai,why
waid,wide
waif,wife
wail,while
wain,wine
waip,wipe
wait,white
waiz,wise
waks,wax
walawala,
wan,one
wanda,wonder
wandawanda,
wans,
wash,wash
wat,what
wateva,whatever
we,
weda,whether
wedn,wedding
weehn,
wel,well
welkom,welcome
wen,when
weneva,whenever
wepan,weapon
wes,west
wet,wet
wi,we
wich,which
wid,with
widout,without
widoutn,
wie,way
wiek,wake
wier,wear
wies,
wiet,weight
wiev,wave
wiez,ways
wiid,weed
wiik,week
wiit,wheat
wikid,wicked
wikidnis,wickedness
wil,
win,
wina,
winda,
wing,
winta,winter
wip,whip
wiself,
wish,wish
wispa,whisper
witnis,witness
wod,word
woi,
wok,work
woka,
woklis,
wokman,
wol,
wori,worry
worl,world
worliyan,
worm,worm
wormwud,wormwood
worship,worship
wos,worse
wosa,
wosaraaf,
wot,
wud,
wuda,would have
wudaana,
wudn,wouldn't
wul,wool
wulf,wolf
ya,
yaa,
yaad,
yai,eye
yaiwaata,tears
yaso,
ye,
yelo,
yelogriin,
yes,
yeside,
yet,
yiis,
yong,young
yongga,younger
yu,you
yuodiya,
yuok,yoke
yuself,yourself
yuubolos,
yuufrietiiz,Euphrates
yuunis,Eunice
yuunivors,universe
yuuraiya,
yuus,
yuut,youth
yuutikos,
yuuz,use
zadak,
zaiyan,Zion
zakaraiya,
zakiyos,
zarifat,
zebidii,
zebyulan,
zelat,
zeruubabel,
ziinas,
ziira,
zuus,Zeus
